vehicle_type,engine_capacity_cc,oil_filter_change_date,current_date,oil_filter_age_days,km_after_change,road_type,load_type,avg_oil_temperature,oil_viscosity_index,engine_rpm_avg,idling_percentage,ambient_temperature,fuel_type,driving_style,oil_pressure,oil_level_pct,coolant_temp,oil_filter_condition
Sedan,2044,2022-12-25,2024-01-06,377,69991,mixed,heavy,97.21194492716123,37.566693848206995,2393,7,40.75779754013345,CNG,calm,2.2233854465011547,78,95.44340866532278,Red
Sedan,1656,2023-10-16,2024-01-22,98,8399,offroad,light,101.44864469486758,98.68047810387822,2898,26,43.177114209741475,Diesel,normal,1.6343796351828517,53,90.87521672365179,Orange
Hatchback,1278,2023-07-13,2024-02-20,222,16801,offroad,medium,88.04264977013857,43.30551421516073,2590,32,15.050738346558884,CNG,aggressive,6.090663410244955,88,99.04000014200844,Dark-Orange
Bus,4614,2024-05-10,2024-06-14,35,6660,offroad,heavy,119.88130009497388,51.649926354605725,3336,25,27.07201161173174,Diesel,aggressive,2.6261036138927087,36,88.36369759678288,Orange
LCV,3387,2024-01-26,2024-12-06,315,37210,mixed,heavy,94.3408615903108,70.59893468369773,2459,34,28.253580505138586,Petrol,normal,4.715949782545549,85,100.57332476510896,Red
Bus,4390,2024-06-11,2024-11-03,145,15650,offroad,light,93.93031019608469,40.314777357204086,2594,20,44.518080683455544,Petrol,aggressive,4.3620068518337405,29,99.80093498381294,Orange
Truck,4592,2024-06-10,2024-12-23,196,20370,highway,light,82.70371340101585,83.90323320018175,2718,32,21.565234104369583,CNG,aggressive,5.422604208952286,86,91.25924596009882,Orange
Truck,5041,2023-12-09,2024-02-15,68,11034,offroad,medium,110.48811794052219,93.47983113192794,3413,15,37.309663264787545,CNG,aggressive,3.610709402526793,53,109.71081640593711,Yellow
Hatchback,2267,2024-04-21,2024-08-21,122,7585,city,heavy,92.70712443206409,67.81065557629195,1641,14,21.9378443918456,Diesel,calm,4.816723967644787,47,81.3240034716516,Yellow
Truck,6816,2024-03-19,2024-07-02,105,17666,mixed,heavy,117.64156689181839,56.626672024939815,1506,27,23.958379571171506,CNG,calm,3.144926564350454,73,101.18406047392168,Orange
Truck,4806,2024-03-22,2024-08-08,139,12900,city,medium,98.76996597599224,58.302166839634594,2838,34,42.58624862006928,Diesel,aggressive,6.393970876354078,88,79.88402838007687,Orange
Truck,3222,2023-07-17,2024-02-21,219,7836,mixed,light,88.26863524658489,44.81621989480371,2469,26,37.83689123682081,Petrol,normal,3.0851941856027496,73,84.64856593999974,Orange
SUV,2304,2023-09-20,2024-01-12,114,15222,city,light,104.37300961996094,73.49349596103104,1744,13,29.20683182838384,Petrol,calm,1.6291419536011862,47,91.27618942023273,Yellow
Hatchback,1955,2023-05-15,2024-03-20,310,59863,city,light,95.25396563782353,95.02210178849852,2089,29,26.89963324549882,Diesel,calm,4.932580877772076,29,95.72342514374483,Red
Bus,4989,2023-01-24,2024-02-23,395,26583,city,heavy,105.26129699274107,34.826971556374836,2498,5,40.48726880998732,Petrol,normal,5.522820049495319,33,93.79519943135541,Red
LCV,3448,2023-12-15,2024-03-14,90,13447,offroad,heavy,110.45267418205236,52.561320808678275,2302,10,23.367847475774106,CNG,normal,3.4794110010657375,79,101.62662226819621,Yellow
Hatchback,1258,2024-03-15,2024-08-28,166,7395,highway,medium,90.7495971606898,91.60751416786611,2938,5,30.498817551448028,Diesel,normal,2.0508103293990434,50,100.2026132436468,Yellow
LCV,3137,2023-08-24,2024-04-23,243,32251,mixed,medium,85.29824534621741,58.308079007454964,1749,24,34.918800647904476,Petrol,calm,3.0296124786357033,90,93.58226759010188,Orange
LCV,3527,2024-03-15,2024-09-11,180,25837,offroad,medium,81.14879890084588,38.3688318878537,2048,16,20.746229190316342,Diesel,calm,5.062325594299229,55,100.36047503825681,Orange
Truck,7888,2024-01-26,2024-05-04,99,6562,offroad,light,101.04647659836591,33.186099068825285,1555,40,23.764099336583328,Diesel,calm,6.192492881376573,82,78.59056763757162,Orange
SUV,2375,2023-09-14,2024-05-16,245,22953,highway,light,79.64648427651169,64.42225922037477,2981,8,19.551810208528693,Diesel,normal,5.461281419512761,58,77.98133179386805,Orange
Sedan,1442,2024-02-25,2024-09-25,213,26667,highway,heavy,120.65643592921805,60.01808852982981,2964,8,33.28892736735391,Diesel,normal,5.070491180164997,46,99.53948731713118,Dark-Orange
SUV,1521,2023-06-29,2024-04-06,282,6841,city,medium,95.78339182918472,50.38815023217193,2974,23,36.208674896370994,Diesel,aggressive,4.866431569515445,78,79.82552966697203,Dark-Orange
Hatchback,2480,2024-07-13,2024-10-22,101,9168,highway,heavy,111.30541684851747,51.532826882996275,2965,23,28.174603460212122,Petrol,normal,3.5778388365188905,58,108.91744138159052,Orange
Truck,7423,2024-07-05,2024-08-15,41,5068,mixed,heavy,89.67614545072999,97.33377715349857,3678,6,44.98717250632354,Diesel,aggressive,4.697548713667816,54,102.7997345028132,Yellow
Sedan,2163,2024-02-08,2024-09-21,226,41596,highway,heavy,122.88922936918168,58.58436654010107,3157,11,40.731992832010576,Diesel,aggressive,2.81392014968431,83,94.53955823328306,Dark-Orange
Truck,3300,2024-02-24,2024-08-03,161,9330,city,medium,98.01811352690952,67.98155160500366,1923,8,20.627476241835815,CNG,calm,2.989786475334214,83,96.88930597507532,Yellow
SUV,1616,2024-03-12,2024-05-18,67,12479,mixed,heavy,87.31065325549882,85.95196132921293,2226,15,24.322504151800054,Diesel,calm,1.0752095545633338,72,88.18489343880549,Yellow
SUV,2145,2023-12-05,2024-02-21,78,8165,offroad,heavy,104.08935559135,61.97505309126195,2096,29,20.71831112843785,CNG,normal,4.296576792711949,37,108.00341673322099,Yellow
LCV,2696,2024-09-08,2024-09-09,1,63,offroad,heavy,104.00917209381616,54.158675918510525,3630,39,26.316301626416582,CNG,aggressive,6.130687406433935,44,111.71516753830329,Yellow
LCV,2478,2024-01-22,2024-07-02,162,24542,mixed,medium,109.32863485309247,64.67300547314964,2575,13,30.068734503988978,CNG,aggressive,4.245992361202619,32,105.5966630919008,Orange
LCV,2204,2024-09-08,2024-09-15,7,1030,mixed,heavy,106.1242073402078,53.69928638360022,2209,30,34.49509957737818,Petrol,calm,5.684709107928803,88,91.46694045262693,Light-Green
Bus,6997,2023-10-22,2024-09-02,316,7267,offroad,light,91.17343278114137,74.3623480146554,2393,11,28.31035654985117,CNG,calm,4.81700639536279,23,76.60968390370245,Red
SUV,1800,2023-11-05,2024-06-12,220,8284,mixed,heavy,86.73911122398334,90.95877190513984,2134,20,29.930017571038533,CNG,calm,4.207364218586291,49,93.68002036156034,Orange
Hatchback,1219,2023-08-30,2024-08-10,346,39393,city,medium,85.47039871933202,97.34203509764093,3913,21,28.705074380033594,Diesel,aggressive,2.661669187960725,69,104.8667410531065,Red
SUV,1685,2024-01-18,2024-07-19,183,21816,offroad,light,90.26610347579495,78.00596449138084,1900,36,39.98516699019565,CNG,normal,5.966142051473765,49,99.77048449410248,Dark-Orange
Bus,4557,2023-10-28,2024-10-09,347,53285,highway,heavy,110.11948205232277,70.57016637578819,3999,13,17.70400127238657,Petrol,aggressive,2.623107483960354,73,82.46900044301856,Red
Truck,5997,2024-05-01,2024-09-17,139,23322,offroad,medium,113.5062189624215,62.783197219688674,2654,14,37.624544791840066,Diesel,aggressive,2.240880826344887,70,116.90031759570675,Orange
Hatchback,1384,2024-02-17,2024-07-01,135,15113,mixed,medium,98.53192790728546,70.91920641565162,3807,28,18.25038306597692,CNG,aggressive,2.2860204621637075,23,96.68414034655854,Orange
Truck,5687,2023-11-12,2024-10-08,331,7285,mixed,heavy,95.68812507791166,96.23830730173624,3123,36,18.483614421753284,Diesel,aggressive,2.29140017837231,88,84.2846792736107,Red
Bus,7425,2023-07-05,2024-07-19,380,56260,mixed,heavy,110.93835814892702,49.581809806005204,2558,18,28.30149258182105,Petrol,normal,6.228053434182848,66,85.33421451602742,Red
Truck,5938,2023-08-25,2024-01-13,141,6494,city,medium,82.42370353981596,74.76450429707927,2543,8,38.6038377136385,Petrol,aggressive,2.33962893440213,36,104.59628925059982,Yellow
Truck,4697,2024-06-10,2024-10-07,119,8618,highway,heavy,112.79101554094562,47.54579377096867,2157,12,34.83172927791951,Petrol,normal,1.141790823824091,21,95.42279511711583,Orange
Truck,5652,2023-08-24,2024-01-06,135,2694,mixed,heavy,86.7072834778486,55.34272816722584,3715,11,28.56016259726257,Petrol,aggressive,2.2185236603005674,98,84.3500462512748,Orange
Bus,7271,2023-06-21,2024-05-15,329,63551,city,medium,99.01341236217814,64.31881979009577,2708,9,41.97800295370604,Diesel,normal,2.7716150086047935,38,80.04903816178353,Dark-Orange
Bus,7795,2024-04-10,2024-09-23,166,13673,offroad,medium,97.98793733484327,38.008985070105574,3840,40,36.625197499727975,CNG,aggressive,2.1826268648012332,77,110.22132148136639,Dark-Orange
LCV,2816,2024-06-06,2024-07-24,48,3330,offroad,heavy,124.98662732723017,36.3857351856234,1974,10,27.956295556552206,Diesel,normal,5.0952393305553345,67,108.97563234086223,Orange
Truck,7600,2023-10-04,2024-09-11,343,11395,offroad,heavy,87.80139586638298,37.25203961472434,3539,18,19.641905275747842,Diesel,aggressive,3.6520416791241375,33,92.81664455878496,Red
SUV,1770,2024-03-03,2024-10-08,219,37356,city,heavy,91.16483110000242,79.18891410059233,3132,26,25.53070262210945,CNG,aggressive,1.9977305701691277,38,98.82908175664332,Dark-Orange
Sedan,2496,2022-12-17,2024-01-03,382,42322,mixed,medium,80.50932465457811,51.81461587929515,2464,10,41.5002655355503,Diesel,normal,1.8556894687246859,99,77.55750251047263,Red
LCV,3355,2023-09-10,2024-07-16,310,29136,offroad,light,88.18994766383946,77.47525250534741,2107,36,30.808023214444344,CNG,calm,2.6963066551819104,48,88.83421886306701,Dark-Orange
Truck,3448,2023-08-06,2024-01-07,154,29200,highway,medium,84.17330531582748,60.14585079475221,2064,29,30.977470436022713,Diesel,normal,2.2656089384216282,91,104.16739708469574,Orange
Hatchback,1347,2023-07-15,2024-07-28,379,6836,city,medium,95.15157062578909,70.137977662009,2655,23,18.455201179913946,Petrol,normal,1.1147110746361184,61,81.01556132023242,Red
Truck,6769,2024-10-28,2024-12-12,45,4183,city,light,89.01574357106306,35.50529612380019,3135,26,21.64716176682754,Diesel,aggressive,5.285148277317956,29,92.86691495897519,Orange
SUV,2286,2023-08-07,2024-09-07,397,30323,highway,light,85.6938779944815,40.70088523041509,2277,9,20.314383868416876,Petrol,calm,5.250664490861581,83,91.23835739795568,Red
Truck,7747,2023-11-07,2024-08-22,289,38196,offroad,heavy,106.39476060748326,85.74307754059997,2105,8,25.558266678602298,Diesel,calm,1.4080486089530821,79,91.3858857378634,Red
Hatchback,1357,2024-10-13,2024-11-28,46,5835,mixed,medium,108.39810168529766,81.72447318368683,2584,33,42.271498697209935,CNG,aggressive,4.144111775495902,44,91.00972698024569,Light-Green
Sedan,1326,2024-02-11,2024-08-04,175,34414,city,heavy,88.44619146025637,99.36902158528213,2036,38,33.294162189680236,CNG,calm,3.0014387782714205,56,96.30422746904641,Yellow
Bus,7897,2023-03-09,2024-01-26,323,42955,city,medium,98.74327706940284,49.89028817146796,3982,14,25.000861081816698,Petrol,aggressive,4.205067330225308,38,107.08612592699922,Red
Hatchback,2002,2023-03-24,2024-03-20,362,68135,offroad,heavy,122.54118036331926,88.02712810261252,3903,38,17.80358895198065,Diesel,aggressive,4.687508220439665,85,91.28996006195791,Red
Sedan,1638,2023-10-21,2024-06-25,248,11527,highway,light,105.56640124068485,83.96123042541707,2878,7,34.85787712114253,Petrol,normal,5.82016024898508,99,79.58671645003278,Orange
LCV,2315,2023-03-18,2024-03-06,354,55404,highway,heavy,103.51898263873325,61.093909686369294,1791,33,22.020088330062734,Diesel,calm,2.315426734850357,80,108.57926359703674,Red
Bus,7672,2023-07-19,2024-08-15,393,24969,mixed,heavy,121.98829775802055,86.08814569060833,2083,21,16.565394097830136,CNG,normal,3.6432486050400374,67,95.4348234073392,Red
Truck,4021,2023-04-09,2024-05-03,390,15779,mixed,heavy,92.31502447534237,87.16922790988504,2515,6,27.446907174570164,Petrol,normal,3.180496810086363,67,93.19748609760305,Red
Hatchback,1659,2023-11-22,2024-01-11,50,8472,offroad,light,93.33839473749262,78.72503920031886,1642,35,28.458044219467396,Petrol,calm,1.0288815906808986,30,75.66513597188397,Yellow
Sedan,1506,2023-11-18,2024-09-24,311,34296,city,medium,79.26469208055161,46.69076524218759,2736,9,18.32573685870045,Petrol,normal,5.978307871140992,96,93.76188245099215,Dark-Orange
Bus,7221,2023-10-07,2024-10-08,367,13681,mixed,light,83.41974835822903,59.159731664597786,1975,38,44.23963472856665,CNG,normal,1.3722362759986533,87,101.90699195593434,Red
Truck,7539,2023-05-18,2024-01-13,240,4385,mixed,medium,75.56847808881317,85.19640113956606,3206,20,36.988230643519245,Diesel,aggressive,4.45541329361611,94,104.05673055215074,Dark-Orange
SUV,1921,2023-10-18,2024-09-11,329,14234,mixed,heavy,87.72825575644839,80.12315403173363,3437,7,23.803277135250937,Diesel,aggressive,1.240934516125177,45,109.15862169713093,Red
Hatchback,2255,2023-10-23,2024-07-27,278,27784,city,heavy,100.30251183102197,90.60587939546403,2479,22,18.734250247331502,Petrol,normal,3.0241054587307015,71,109.96214464273727,Dark-Orange
LCV,2694,2023-03-28,2024-03-16,354,37003,offroad,light,83.78697820024364,87.56388956779207,2917,23,24.63634284643782,CNG,normal,1.440379010912474,57,85.72735496317634,Red
Truck,6490,2023-08-09,2024-03-23,227,17432,city,heavy,117.6808245228053,98.60190954359953,2617,9,35.135516666810034,Diesel,aggressive,3.2341562732920885,85,109.83246522282285,Dark-Orange
SUV,1492,2023-09-18,2024-10-22,400,37301,highway,light,91.65004057563797,69.70712492068836,3739,14,35.37186170740185,Petrol,aggressive,6.218529410960561,67,91.3067294094501,Red
Sedan,2284,2024-01-05,2024-06-13,160,21346,highway,light,86.6891344736249,93.94797540692306,2741,21,38.248934505944646,Petrol,aggressive,4.872207961637542,47,112.7285477023982,Yellow
LCV,2409,2023-12-30,2024-02-05,37,3547,mixed,light,98.37439266711388,79.66783407737117,2926,39,23.71086848333441,CNG,normal,2.6497617303020604,40,99.91331864025244,Light-Green
Bus,4426,2024-02-24,2024-06-17,114,3768,highway,light,81.46015531088526,55.82378158508545,2929,13,33.35845087861563,Petrol,normal,1.47418514908563,59,88.9355993269818,Yellow
Bus,6921,2023-08-18,2024-09-14,393,34502,city,light,77.59577569178572,62.60832397347412,3559,27,18.850038322350414,Diesel,aggressive,5.559795504744694,90,97.3927875278332,Red
Sedan,1464,2024-06-19,2024-07-17,28,4702,highway,medium,93.38644761570191,54.22161576393111,2463,38,41.84777750463373,Petrol,calm,5.652635383857261,52,91.43408345233955,Green
Hatchback,1456,2024-01-01,2024-11-10,314,34967,highway,heavy,101.25682261819667,53.633371062406155,2446,7,39.75708801979896,CNG,calm,1.156054183443827,25,115.90936357690835,Red
Hatchback,1631,2023-12-03,2024-10-14,316,41525,mixed,heavy,105.48769625508938,47.14145374542601,2631,24,28.606323988655138,CNG,normal,4.78737464420141,40,95.22870379828797,Dark-Orange
Sedan,1896,2024-04-28,2024-10-05,160,27789,offroad,heavy,93.89872944232013,52.33811204822101,2755,12,23.02415023362547,Diesel,normal,2.363553853890501,32,86.22503414004234,Orange
Truck,6425,2024-02-07,2024-04-28,81,13329,offroad,light,114.52708056571309,91.5352964520293,2818,6,17.70147285131353,Petrol,normal,3.162832012623135,78,108.83403206933664,Yellow
Sedan,2394,2024-05-08,2024-06-02,25,1586,mixed,medium,104.65103278877137,60.16494385432783,2403,21,36.825241900781755,CNG,calm,5.201212202890942,66,77.09506068172435,Green
Truck,4594,2024-01-23,2024-06-18,147,3523,mixed,heavy,105.00206260139602,98.25579707896489,3306,28,38.846916851428375,Diesel,aggressive,2.8649691497391094,66,103.4143598457723,Dark-Orange
Truck,6288,2024-08-10,2024-09-02,23,400,offroad,medium,89.14424018095565,39.78466900406487,2452,15,26.78863763599449,CNG,normal,4.390752681093339,58,95.78036294708454,Green
Truck,7175,2023-09-20,2024-09-16,362,42337,mixed,light,98.58322373655558,98.59286218254132,2995,24,38.90264441790441,Diesel,normal,4.989283169035204,100,80.67855256458476,Red
Bus,7738,2023-10-05,2024-10-08,369,7290,mixed,light,100.24139923371935,84.22242908836677,3278,14,39.649838733835566,CNG,aggressive,2.3320810807767347,93,109.2861361907875,Red
SUV,2103,2024-03-29,2024-06-14,77,6811,highway,medium,115.94641033552558,81.5086089888077,2627,13,30.56049634680339,CNG,aggressive,4.084877250997517,81,93.39170029900123,Light-Green
Hatchback,1554,2024-02-25,2024-08-18,175,19913,offroad,heavy,119.28186443789085,95.9039882429223,1804,23,36.14702810509752,Diesel,calm,4.796319513599839,82,89.58445781765874,Orange
Bus,5240,2023-07-16,2024-05-04,293,40597,mixed,medium,85.16584281975274,50.13412391298979,2231,10,25.390905422868496,Diesel,calm,3.4330686152565946,52,101.15684749013018,Dark-Orange
Sedan,1613,2023-11-27,2024-09-09,287,40832,highway,light,97.9636478340814,76.88837754251728,3587,19,34.13833720225913,CNG,aggressive,1.2887010876170453,72,86.56027682205686,Red
LCV,2205,2024-09-16,2024-11-25,70,768,highway,medium,93.7052579621074,97.4739827223655,2457,23,34.3769375367081,CNG,normal,5.993653273045923,31,97.83045556466779,Yellow
Sedan,2295,2024-12-05,2024-12-24,19,3486,highway,medium,113.87095885088085,64.67687281252304,2459,23,41.302295037537704,Petrol,calm,1.050969426640549,92,105.38195225287573,Light-Green
Hatchback,1782,2023-11-17,2024-08-21,278,30474,highway,heavy,89.49980917518226,62.124012972265284,2326,16,15.422525868553942,Diesel,normal,2.8541169863136266,57,102.44517028730849,Red
Sedan,2451,2024-04-09,2024-11-13,218,23522,city,medium,81.4673420366569,39.842831294400895,1831,20,15.204903616186664,CNG,calm,3.1096591487181695,77,101.381482812351,Orange
Hatchback,1818,2024-01-05,2024-10-24,293,3566,offroad,heavy,109.62363217964842,78.02515339237773,2445,24,35.708711322564426,Petrol,calm,4.512912288596608,57,90.07252900826317,Dark-Orange
Sedan,2179,2023-02-27,2024-03-15,382,75589,offroad,medium,114.52139632295192,86.13964942460217,2947,20,35.41025759758194,CNG,aggressive,4.276979560421726,30,98.6744642084378,Red
Hatchback,1359,2024-09-03,2024-10-04,31,5191,highway,heavy,98.72206608094226,77.62066665573495,2234,36,17.728249333550636,CNG,calm,3.80706444718059,27,96.00260893830878,Yellow
LCV,3154,2023-05-27,2024-01-18,236,32526,offroad,heavy,91.11517047000692,35.11206681408201,2667,27,36.01154634291528,Petrol,normal,3.9763992724394805,27,108.40058942257626,Red
LCV,2064,2024-02-12,2024-05-14,92,14361,mixed,medium,105.4367099858748,93.47371180672008,2569,10,35.48191062304624,Diesel,normal,4.639858959690075,89,88.25750903301979,Yellow
SUV,1565,2023-12-18,2024-09-13,270,9232,highway,light,98.39607629192582,59.68896208133811,2576,19,22.425361155113265,Petrol,normal,2.903878542431947,55,81.59681579328598,Orange
Bus,3924,2023-02-22,2024-01-26,338,30303,city,light,78.53138495823775,32.350339302799654,2112,8,22.342024536551776,Petrol,calm,1.2433020153079881,76,83.20187474706466,Red
Sedan,1315,2023-10-21,2024-03-17,148,8064,offroad,heavy,119.77501068766063,98.9986892507588,3567,19,27.40680619340411,CNG,aggressive,2.51334656279733,91,116.99534783557408,Dark-Orange
Sedan,2482,2024-02-04,2024-11-14,284,29583,offroad,heavy,114.8537517666957,40.44523254776146,2570,16,37.63248291714376,CNG,normal,3.6043535122672097,48,92.6015426327099,Red
LCV,3873,2023-06-21,2024-01-18,211,40908,highway,medium,88.58384417258135,94.55582731578556,2559,10,31.06906609041647,Petrol,normal,5.561734568682677,26,84.39615557492434,Dark-Orange
Bus,7955,2024-08-26,2024-10-02,37,1692,highway,medium,94.70152250415853,44.82654404343056,2189,12,37.40637682368725,Petrol,normal,5.148819086209422,51,106.3846058264314,Light-Green
LCV,3874,2023-11-06,2024-04-18,164,25805,mixed,medium,87.57408444430516,48.30931391697468,3550,36,28.980122007118513,CNG,aggressive,5.415491420010116,80,101.65701392583989,Orange
Hatchback,1616,2023-11-13,2024-06-11,211,3942,highway,heavy,104.26610561017947,59.23046514886215,1656,17,24.895958579335797,Petrol,calm,3.0891187610763478,51,99.0216315441365,Orange
Bus,5765,2023-09-18,2024-05-25,250,48409,mixed,medium,102.8241430023772,41.84859976021272,3975,39,29.649489637623972,Petrol,aggressive,6.042946643319017,89,109.66132393079496,Dark-Orange
SUV,2273,2023-12-20,2024-01-27,38,7204,city,light,104.4890650888872,46.200337445421184,2224,14,15.274243850719852,Diesel,calm,3.781531058311858,67,77.11575416195566,Light-Green
Bus,6958,2024-11-08,2024-11-16,8,90,mixed,light,100.27674525690023,67.50166720467473,3087,6,30.06648096736309,Petrol,aggressive,4.838224919193843,75,103.21586946316,Light-Green
Sedan,1419,2023-12-03,2024-02-17,76,4239,offroad,medium,87.35865147499054,62.129842188582955,2298,19,23.999239210197693,Diesel,normal,5.554341432923593,30,97.88075018457036,Yellow
Bus,3259,2023-08-03,2024-02-13,194,15842,mixed,light,99.59958025066871,35.78802857540612,2365,32,34.34721725829906,CNG,calm,2.821988393457319,32,106.31769242499449,Dark-Orange
SUV,1670,2023-05-10,2024-04-28,354,63236,mixed,medium,98.95500602122745,49.62611096316438,2056,7,20.38063509660207,Petrol,calm,5.677351800573362,22,108.6514216456602,Red
Truck,4181,2024-06-07,2024-12-27,203,37856,offroad,light,103.328781449082,77.39244761136771,2053,26,26.515386422487182,CNG,calm,5.068598440063955,30,92.52774980732038,Dark-Orange
Hatchback,1309,2023-10-19,2024-02-14,118,19983,offroad,heavy,101.91641247657847,49.132892004015815,3422,36,21.844151695626497,CNG,aggressive,4.041707487227661,68,96.91162669926565,Orange
Bus,6113,2023-04-15,2024-02-25,316,20894,highway,heavy,101.01792383084829,40.79938234221839,1898,25,25.821006843421813,Petrol,calm,1.5033623578293152,59,98.17922018688006,Dark-Orange
SUV,1471,2023-07-01,2024-02-06,220,20961,mixed,light,87.38700005708407,36.51449823219119,2112,25,40.91154531804575,Petrol,calm,1.0678733818617494,72,89.419979747529,Orange
Truck,4988,2024-07-23,2024-10-17,86,12058,highway,light,85.85358610668786,41.70451805313928,2365,31,23.9925676176469,Diesel,normal,5.30466643291017,66,83.8094908226116,Light-Green
Sedan,2480,2023-10-10,2024-08-20,315,14853,city,light,108.20882118380979,53.25520507181389,2135,29,39.12229385872148,Diesel,calm,2.812479439535931,62,98.30692013454978,Dark-Orange
Bus,7869,2023-09-28,2024-03-10,164,20436,highway,medium,118.44736402578474,50.40137061060372,2211,36,44.03289256450816,Diesel,calm,5.3008590328196705,61,96.32688073567428,Orange
LCV,2747,2023-11-09,2024-02-19,102,12497,highway,heavy,125.05505414291247,60.6918468016236,1798,9,39.56896704013376,CNG,calm,5.376112597977749,72,99.94600906080733,Yellow
Hatchback,1695,2024-03-05,2024-05-22,78,11379,mixed,light,91.77321449204192,58.056356813056155,3537,31,31.30935610162433,Diesel,aggressive,5.348965043770925,66,99.55720004694575,Yellow
Truck,7864,2024-09-09,2024-11-03,55,8585,offroad,light,86.38646633299456,77.423032710493,3318,26,43.97150333141485,CNG,aggressive,3.3675054913960025,21,80.6712403458551,Orange
Bus,7249,2023-10-03,2024-09-19,352,41991,mixed,medium,102.03197813618512,71.20129695781031,2824,14,25.34902162798555,Diesel,normal,1.1350945916417312,33,85.3401277181442,Red
SUV,1437,2024-06-10,2024-12-05,178,12328,mixed,light,87.19051038224762,36.833612178799626,2726,25,17.015230201243774,CNG,normal,1.2457567897142663,34,75.79047903210893,Orange
Hatchback,1423,2024-09-03,2024-11-26,84,15681,highway,heavy,100.7878656347757,46.22988831879873,3329,16,20.59160775850986,Petrol,aggressive,4.615193511372354,70,82.16279897570286,Yellow
